Game_ID,Season,Week,Date,Away,Home,Away_Pts,Home_Pts,Actual_Total,Market_Total,Over_Odds,Under_Odds,Spread_Line,Wind,Temp,Dome,Short_Rest,Div_Game,EPA_Matchup,Pass_EPA_Matchup,Rush_EPA_Matchup,Success_Matchup,Explosive_Matchup,Plays_Matchup,Turnover_Env,Sack_Env,Cold_Units
2018_05_IND_NE,2018,5,2018-10-04,IND,NE,24.0,38.0,62.0,49.5,-102.0,-109.0,10.5,6.0,66.0,0.0,1.0,0.0,-0.06124251921304147,0.12055254030959134,-0.437462962700995,0.8792577283225878,0.08522134119019847,138.0,0.045882553327890645,0.10546134003954284,0.0
2018_05_TEN_BUF,2018,5,2018-10-07,TEN,BUF,12.0,13.0,25.0,38.0,-119.0,106.0,-6.0,8.0,62.0,0.0,0.0,0.0,-0.1903665163246148,0.01612691921385563,-0.47358271810103036,0.7906686420870965,0.08261192491589375,127.75,0.042062586354330064,0.1487843516384566,0.0
2018_05_GB_DET,2018,5,2018-10-07,GB,DET,23.0,31.0,54.0,50.0,-103.0,-108.0,1.0,0.0,,1.0,0.0,1.0,7.958279756082459e-05,0.11890587891797044,-0.15814349081850848,0.9005401539318751,0.11674930007712599,138.5,0.0386184116869794,0.14002165866806743,0.0
2018_05_JAX_KC,2018,5,2018-10-07,JAX,KC,14.0,30.0,44.0,48.0,-108.0,-103.0,3.0,5.0,58.0,0.0,0.0,0.0,0.17941279161537943,0.3299304849318722,-0.1182303217512676,0.8992111767218869,0.1321555790626031,131.75,0.02238143416558258,0.09553373833444603,0.0
2018_05_ATL_PIT,2018,5,2018-10-07,ATL,PIT,17.0,41.0,58.0,57.0,-101.0,-110.0,3.5,5.0,83.0,0.0,0.0,0.0,0.18314180525901502,0.4074927502205175,-0.30798146341189897,0.9248952547152681,0.13402406511170625,139.75,0.03652959537718713,0.1010401422909343,0.0
2018_05_MIN_PHI,2018,5,2018-10-07,MIN,PHI,23.0,21.0,44.0,48.0,102.0,-114.0,3.5,6.0,79.0,0.0,0.0,0.0,-0.01596718526383398,0.17197236941454466,-0.39465314250722217,0.8616410204776057,0.10519603119832482,148.25,0.035994086753658075,0.12726623771109496,0.0
2018_05_ARI_SF,2018,5,2018-10-07,ARI,SF,28.0,18.0,46.0,40.5,-118.0,106.0,3.0,15.0,79.0,0.0,0.0,1.0,-0.0246674168578458,0.11934170603425996,-0.20164352639367028,0.8850784134616815,0.11272469223880655,116.0,0.04343529818001649,0.12893126592588505,0.0
2018_05_DAL_HOU,2018,5,2018-10-07,DAL,HOU,16.0,19.0,35.0,45.0,100.0,-111.0,3.5,0.0,,1.0,0.0,0.0,0.03900245938719015,0.23168629578359476,-0.2994970041365735,0.8499800284841896,0.10363050361610321,132.5,0.02880657651638054,0.1651645351781561,0.0
2018_06_PHI_NYG,2018,6,2018-10-11,PHI,NYG,34.0,13.0,47.0,45.5,-109.0,-102.0,-1.5,3.0,70.0,0.0,1.0,1.0,0.026442868237142376,0.14664977275037833,-0.2504028127517179,0.8779373556261327,0.1293167229770655,136.34500000000003,0.03708851885519513,0.11146227738541234,0.0
2018_06_TB_ATL,2018,6,2018-10-14,TB,ATL,29.0,34.0,63.0,57.5,-103.0,-108.0,3.0,0.0,,0.0,0.0,1.0,0.31297896717213003,0.6444293465531051,-0.2912429474297547,0.9678305778275452,0.15284590778331048,131.76,0.03638432738329181,0.09415463142403667,0.0
2018_06_PIT_CIN,2018,6,2018-10-14,PIT,CIN,28.0,21.0,49.0,49.5,-103.0,-108.0,1.0,6.0,51.0,0.0,0.0,1.0,0.13142232085885122,0.30431345437227153,-0.25567170179741605,0.9213008832582867,0.13607596925823584,135.08499999999998,0.0466597381894341,0.09997593459329021,0.0
2018_06_LAC_CLE,2018,6,2018-10-14,LAC,CLE,38.0,14.0,52.0,47.0,-104.0,-106.0,1.0,9.0,51.0,0.0,0.0,0.0,0.00391508986283811,0.11671942914967864,-0.15496602310747176,0.8719003813836419,0.14155308883697926,139.25,0.046596951848114354,0.1260717760909635,0.0
2018_06_BUF_HOU,2018,6,2018-10-14,BUF,HOU,13.0,20.0,33.0,40.5,-110.0,-101.0,10.5,0.0,,1.0,0.0,0.0,-0.1383553050524245,0.10537258681251889,-0.5881916282560444,0.8252556484357114,0.09606720559229937,137.13,0.04592390522039864,0.15271642536181995,0.0
2018_06_CHI_MIA,2018,6,2018-10-14,CHI,MIA,28.0,31.0,59.0,40.5,-102.0,-109.0,-7.5,8.0,89.0,0.0,0.0,0.0,-0.1655700635687552,-0.04428167802712826,-0.3368890551218166,0.8529921580245702,0.11138311687793881,124.25,0.06931231036971147,0.13777901866375236,0.0
2018_06_ARI_MIN,2018,6,2018-10-14,ARI,MIN,17.0,27.0,44.0,43.5,-105.0,-105.0,10.0,0.0,,1.0,0.0,0.0,-0.06735874405390091,0.15393722850339048,-0.43788187690616676,0.8722786662857565,0.11587547867004608,119.3025,0.044524419435594195,0.11941026615584632,0.0
2018_06_IND_NYJ,2018,6,2018-10-14,IND,NYJ,34.0,42.0,76.0,47.5,101.0,-112.0,2.5,7.0,60.0,0.0,0.0,0.0,-0.08701665792258363,0.007053020338625194,-0.304230891285091,0.8691375104425272,0.11039527580676292,134.6075,0.051738314290328824,0.12196136260449779,0.0
